Time,Spot,Overall OI PCR,Overall Vol PCR,Max Pain
2026-06-20 04:49:06.119328,24032.0,0.75,0.0,24000
2026-06-20 04:49:06.533881,24032.0,0.74,0.0,24000
2026-06-20 05:00:52.218676,24032.0,0.0,0.0,23050
2026-06-20 05:00:52.644817,24032.0,38.47,0.0,23050
2026-06-20 05:00:53.047480,24032.0,5.74,0.0,23050
2026-06-20 05:00:53.366616,24032.0,27.99,0.0,23100
2026-06-20 05:00:53.704256,24032.0,19.19,0.0,23100
2026-06-20 05:00:54.051327,24032.0,26.46,0.0,23150
2026-06-20 05:00:54.381111,24032.0,7.19,0.0,23150
2026-06-20 05:00:54.718625,24032.0,14.4,0.0,23200
2026-06-20 05:00:55.073458,24032.0,17.18,0.0,23250
2026-06-20 05:00:55.439776,24032.0,15.33,0.0,23250
2026-06-20 05:00:55.777678,24032.0,9.98,0.0,23250
2026-06-20 05:00:56.177011,24032.0,15.0,0.0,23300
2026-06-20 05:00:56.530931,24032.0,13.98,0.0,23300
2026-06-20 05:00:56.929819,24032.0,15.35,0.0,23350
2026-06-20 05:00:57.286790,24032.0,8.98,0.0,23350
2026-06-20 05:00:57.645372,24032.0,11.61,0.0,23400
2026-06-20 05:00:58.039138,24032.0,11.26,0.0,23400
2026-06-20 05:00:58.432932,24032.0,12.39,0.0,23450
2026-06-20 05:00:58.791788,24032.0,17.85,0.0,23500
2026-06-20 05:00:59.227900,24032.0,13.35,0.0,23500
2026-06-20 05:00:59.574445,24032.0,14.21,0.0,23500
2026-06-20 05:00:59.948987,24032.0,13.9,0.0,23500
2026-06-20 05:01:00.361421,24032.0,10.59,0.0,23500
2026-06-20 05:01:00.721146,24032.0,12.23,0.0,23600
2026-06-20 05:01:01.076811,24032.0,11.91,0.0,23600
2026-06-20 05:01:01.484071,24032.0,12.66,0.0,23600
2026-06-20 05:01:01.865164,24032.0,14.29,0.0,23700
2026-06-20 05:01:02.236252,24032.0,12.65,0.0,23700
2026-06-20 05:01:02.592941,24032.0,12.16,0.0,23700
2026-06-20 05:01:03.011106,24032.0,12.84,0.0,23700
2026-06-20 05:01:03.389679,24032.0,10.63,0.0,23700
2026-06-20 05:01:03.822657,24032.0,11.75,0.0,23800
2026-06-20 05:01:04.213813,24032.0,12.4,0.0,23800
2026-06-20 05:01:04.622522,24032.0,11.25,0.0,23800
2026-06-20 05:01:04.991470,24032.0,7.91,0.0,23800
2026-06-20 05:01:05.436694,24032.0,8.72,0.0,23900
2026-06-20 05:01:05.799247,24032.0,9.29,0.0,23900
2026-06-20 05:01:06.192611,24032.0,6.94,0.0,23900
2026-06-20 05:01:06.610496,24032.0,3.56,0.0,23900
2026-06-20 05:01:06.970773,24032.0,4.07,0.0,23950
2026-06-20 05:01:07.397335,24032.0,4.18,0.0,24000
2026-06-20 05:01:07.794014,24032.0,3.44,0.0,24000
2026-06-20 05:01:08.217508,24032.0,2.66,0.0,24000
2026-06-20 05:01:08.602327,24032.0,2.77,0.0,24000
2026-06-20 05:01:08.974425,24032.0,2.47,0.0,24000
2026-06-20 05:01:09.454442,24032.0,2.49,0.0,24000
2026-06-20 05:01:09.850805,24032.0,2.54,0.0,24000
2026-06-20 05:01:10.329139,24032.0,2.03,0.0,24000
2026-06-20 05:01:10.757022,24032.0,2.04,0.0,24000
2026-06-20 05:01:11.152793,24032.0,1.87,0.0,24000
2026-06-20 05:01:11.596509,24032.0,1.61,0.0,24000
2026-06-20 05:01:11.973651,24032.0,1.62,0.0,24000
2026-06-20 05:01:12.469537,24032.0,1.63,0.0,24000
2026-06-20 05:01:12.868473,24032.0,1.52,0.0,24000
2026-06-20 05:01:13.279804,24032.0,1.52,0.0,24000
2026-06-20 05:01:13.659030,24032.0,1.39,0.0,24000
2026-06-20 05:01:14.070475,24032.0,1.33,0.0,24000
2026-06-20 05:01:14.523314,24032.0,1.33,0.0,24000
2026-06-20 05:01:14.975249,24032.0,1.34,0.0,24000
2026-06-20 05:01:15.382016,24032.0,1.16,0.0,24000
2026-06-20 05:01:15.790866,24032.0,1.11,0.0,24000
2026-06-20 05:01:16.287112,24032.0,1.11,0.0,24000
2026-06-20 05:01:16.781383,24032.0,1.11,0.0,24000
2026-06-20 05:01:17.230476,24032.0,1.04,0.0,24000
2026-06-20 05:01:17.687773,24032.0,1.02,0.0,24000
2026-06-20 05:01:18.135879,24032.0,1.02,0.0,24000
2026-06-20 05:01:18.558868,24032.0,0.96,0.0,24000
2026-06-20 05:01:18.976794,24032.0,0.96,0.0,24000
2026-06-20 05:01:19.408898,24032.0,0.94,0.0,24000
2026-06-20 05:01:19.822093,24032.0,0.94,0.0,24000
2026-06-20 05:01:20.288229,24032.0,0.88,0.0,24000
2026-06-20 05:01:20.696333,24032.0,0.88,0.0,24000
2026-06-20 05:01:21.153368,24032.0,0.88,0.0,24000
2026-06-20 05:01:21.576840,24032.0,0.87,0.0,24000
2026-06-20 05:01:22.030877,24032.0,0.85,0.0,24000
2026-06-20 05:01:22.593222,24032.0,0.85,0.0,24000
2026-06-20 05:01:23.103306,24032.0,0.85,0.0,24000
2026-06-20 05:01:23.599749,24032.0,0.84,0.0,24000
2026-06-20 05:01:24.093618,24032.0,0.75,0.0,24000
2026-06-20 05:01:24.547444,24032.0,0.75,0.0,24000
2026-06-20 05:01:24.976893,24032.0,0.75,0.0,24000
2026-06-20 05:01:25.409916,24032.0,0.74,0.0,24000
2026-06-20 05:09:32.836587,24032.0,0.0,0.0,23050
2026-06-20 05:09:33.213515,24032.0,38.47,0.0,23050
2026-06-20 05:09:33.562418,24032.0,5.74,0.0,23050
2026-06-20 05:09:33.962958,24032.0,27.99,0.0,23100
2026-06-20 05:09:34.365807,24032.0,19.19,0.0,23100
2026-06-20 05:09:34.691593,24032.0,26.46,0.0,23150
2026-06-20 05:09:35.037661,24032.0,7.19,0.0,23150
2026-06-20 05:09:35.424184,24032.0,14.4,0.0,23200
2026-06-20 05:09:35.770402,24032.0,17.18,0.0,23250
2026-06-20 05:09:36.162498,24032.0,15.33,0.0,23250
2026-06-20 05:09:36.494718,24032.0,9.98,0.0,23250
2026-06-20 05:09:36.900526,24032.0,15.0,0.0,23300
2026-06-20 05:09:37.265473,24032.0,13.98,0.0,23300
2026-06-20 05:09:37.600501,24032.0,15.35,0.0,23350
2026-06-20 05:09:37.971862,24032.0,8.98,0.0,23350
2026-06-20 05:09:38.384492,24032.0,11.61,0.0,23400
2026-06-20 05:09:38.774981,24032.0,11.26,0.0,23400
2026-06-20 05:09:39.133763,24032.0,12.39,0.0,23450
2026-06-20 05:09:39.483354,24032.0,17.85,0.0,23500
2026-06-20 05:09:39.909848,24032.0,13.35,0.0,23500
2026-06-20 05:09:40.295808,24032.0,14.21,0.0,23500
2026-06-20 05:09:40.715797,24032.0,13.9,0.0,23500
2026-06-20 05:09:41.133200,24032.0,10.59,0.0,23500
2026-06-20 05:09:41.480964,24032.0,12.23,0.0,23600
2026-06-20 05:09:41.857519,24032.0,11.91,0.0,23600
2026-06-20 05:09:42.261640,24032.0,12.66,0.0,23600
2026-06-20 05:09:42.628342,24032.0,14.29,0.0,23700
2026-06-20 05:09:43.043469,24032.0,12.65,0.0,23700
2026-06-20 05:09:43.399094,24032.0,12.16,0.0,23700
2026-06-20 05:09:43.842756,24032.0,12.84,0.0,23700
2026-06-20 05:09:44.246683,24032.0,10.63,0.0,23700
2026-06-20 05:09:44.793779,24032.0,11.75,0.0,23800
2026-06-20 05:09:45.174158,24032.0,12.4,0.0,23800
2026-06-20 05:09:45.542787,24032.0,11.25,0.0,23800
2026-06-20 05:09:45.967548,24032.0,7.91,0.0,23800
2026-06-20 05:09:46.348887,24032.0,8.72,0.0,23900
2026-06-20 05:09:46.787801,24032.0,9.29,0.0,23900
2026-06-20 05:09:47.242199,24032.0,6.94,0.0,23900
2026-06-20 05:09:47.605615,24032.0,3.56,0.0,23900
2026-06-20 05:09:48.020538,24032.0,4.07,0.0,23950
2026-06-20 05:09:48.457406,24032.0,4.18,0.0,24000
2026-06-20 05:09:48.859651,24032.0,3.44,0.0,24000
2026-06-20 05:09:49.278941,24032.0,2.66,0.0,24000
2026-06-20 05:09:49.667395,24032.0,2.77,0.0,24000
2026-06-20 05:09:50.101378,24032.0,2.47,0.0,24000
2026-06-20 05:09:50.545310,24032.0,2.49,0.0,24000
2026-06-20 05:09:50.930548,24032.0,2.54,0.0,24000
